stage,column,missing_count,missing_ratio,row_count
merged_daily_base,date,0,0.0,1258
merged_daily_base,nasdaq_close,0,0.0,1258
merged_daily_base,nasdaq_return,1,0.000794912559618442,1258
merged_daily_base,master_calendar,0,0.0,1258
merged_daily_base,dgs10,0,0.0,1258
merged_daily_base,vix,0,0.0,1258
merged_daily_base,sentiment_mean,0,0.0,1258
merged_daily_base,sentiment_std,0,0.0,1258
merged_daily_base,sentiment_extreme,0,0.0,1258
final_daily_dataset,date,0,0.0,1257
final_daily_dataset,nasdaq_close,0,0.0,1257
final_daily_dataset,nasdaq_return,0,0.0,1257
final_daily_dataset,master_calendar,0,0.0,1257
final_daily_dataset,dgs10,0,0.0,1257
final_daily_dataset,vix,0,0.0,1257
final_daily_dataset,sentiment_mean,0,0.0,1257
final_daily_dataset,sentiment_std,0,0.0,1257
final_daily_dataset,sentiment_extreme,0,0.0,1257
final_daily_dataset,dgs10_lag1,0,0.0,1257
final_daily_dataset,vix_lag1,0,0.0,1257
final_daily_dataset,sentiment_mean_lag1,0,0.0,1257
final_daily_dataset,sentiment_std_lag1,0,0.0,1257
final_daily_dataset,sentiment_extreme_lag1,0,0.0,1257
train_daily,date,0,0.0,1005
train_daily,nasdaq_close,0,0.0,1005
train_daily,nasdaq_return,0,0.0,1005
train_daily,master_calendar,0,0.0,1005
train_daily,dgs10,0,0.0,1005
train_daily,vix,0,0.0,1005
train_daily,sentiment_mean,0,0.0,1005
train_daily,sentiment_std,0,0.0,1005
train_daily,sentiment_extreme,0,0.0,1005
train_daily,dgs10_lag1,0,0.0,1005
train_daily,vix_lag1,0,0.0,1005
train_daily,sentiment_mean_lag1,0,0.0,1005
train_daily,sentiment_std_lag1,0,0.0,1005
train_daily,sentiment_extreme_lag1,0,0.0,1005
test_daily,date,0,0.0,252
test_daily,nasdaq_close,0,0.0,252
test_daily,nasdaq_return,0,0.0,252
test_daily,master_calendar,0,0.0,252
test_daily,dgs10,0,0.0,252
test_daily,vix,0,0.0,252
test_daily,sentiment_mean,0,0.0,252
test_daily,sentiment_std,0,0.0,252
test_daily,sentiment_extreme,0,0.0,252
test_daily,dgs10_lag1,0,0.0,252
test_daily,vix_lag1,0,0.0,252
test_daily,sentiment_mean_lag1,0,0.0,252
test_daily,sentiment_std_lag1,0,0.0,252
test_daily,sentiment_extreme_lag1,0,0.0,252
