model_family,spec,feature_spec_role,n_estimators,max_depth,min_samples_leaf,cv_mean_rmse,cv_mean_r2,learning_rate
random_forest,macro_extreme,RQ3_incremental_sentiment_beyond_macro,300,4,1.0,0.01476790092247815,-0.04609446571286865,
random_forest,macro_mean,RQ3_incremental_sentiment_beyond_macro,300,4,1.0,0.014920237839988198,-0.07376227722588184,
random_forest,macro_mean_extreme,RQ3_incremental_sentiment_beyond_macro,300,4,1.0,0.014840080552673942,-0.05967018410059377,
random_forest,macro_mean_std,RQ3_incremental_sentiment_beyond_macro,300,4,1.0,0.014815489533440177,-0.053996324666647354,
random_forest,macro_only,RQ1_macro_baseline,300,4,1.0,0.014902984020746772,-0.069473816190239,
random_forest,macro_std,RQ3_incremental_sentiment_beyond_macro,300,4,1.0,0.014748445917796914,-0.04160960976011944,
random_forest,sentiment_extreme_only,RQ2_standalone_sentiment,100,4,3.0,0.014998525701115794,-0.06803035221263583,
random_forest,sentiment_mean_only,RQ2_standalone_sentiment,300,4,1.0,0.015090358287091132,-0.09937755146175127,
random_forest,sentiment_std_only,RQ2_standalone_sentiment,300,4,1.0,0.014871667008744165,-0.056826956866107725,
xgboost,macro_extreme,RQ3_incremental_sentiment_beyond_macro,100,2,,0.014852162849290204,-0.05554520513318972,0.03
xgboost,macro_mean,RQ3_incremental_sentiment_beyond_macro,100,2,,0.014862126719472388,-0.05884182676849492,0.03
xgboost,macro_mean_extreme,RQ3_incremental_sentiment_beyond_macro,100,2,,0.014813796268187495,-0.0542541835224315,0.03
xgboost,macro_mean_std,RQ3_incremental_sentiment_beyond_macro,100,2,,0.014829708889902543,-0.054571773900460085,0.03
xgboost,macro_only,RQ1_macro_baseline,100,2,,0.015052389329438946,-0.09313864564313994,0.03
xgboost,macro_std,RQ3_incremental_sentiment_beyond_macro,100,2,,0.014842351557108495,-0.05236343446610022,0.03
xgboost,sentiment_extreme_only,RQ2_standalone_sentiment,100,2,,0.014873583293140459,-0.05001213533645791,0.03
xgboost,sentiment_mean_only,RQ2_standalone_sentiment,100,2,,0.014935937630015468,-0.07184085650893383,0.03
xgboost,sentiment_std_only,RQ2_standalone_sentiment,100,2,,0.01487285166965203,-0.062026106444958616,0.03
