model_family,spec,feature_spec_role,grid_order,params_json,cv_mean_mae,cv_std_mae,cv_mean_rmse,cv_std_rmse,cv_mean_r2,cv_std_r2,n_estimators,learning_rate,max_depth
xgboost,sentiment_std_only,RQ2_standalone_sentiment,4,"{""n_estimators"": 100, ""learning_rate"": 0.03, ""max_depth"": 2}",0.011668458285356143,0.004264348585540931,0.01487285166965203,0.005037186512483878,-0.062026106444958616,0.07724120370382849,100,0.03,2
xgboost,sentiment_std_only,RQ2_standalone_sentiment,5,"{""n_estimators"": 100, ""learning_rate"": 0.03, ""max_depth"": 3}",0.011768640021680153,0.004287512575005799,0.015022839948437618,0.005052704899147171,-0.08556550043015076,0.10347547305404536,100,0.03,3
xgboost,sentiment_std_only,RQ2_standalone_sentiment,1,"{""n_estimators"": 100, ""learning_rate"": 0.05, ""max_depth"": 2}",0.011822715798065214,0.004192256235401155,0.01506501428582685,0.00497499792658087,-0.09524544713361838,0.12131002965787153,100,0.05,2
xgboost,sentiment_std_only,RQ2_standalone_sentiment,10,"{""n_estimators"": 300, ""learning_rate"": 0.03, ""max_depth"": 2}",0.011911224360151865,0.004153918189163979,0.015211314997019325,0.0049708676968804235,-0.11862181787488257,0.13160502951186612,300,0.03,2
xgboost,sentiment_std_only,RQ2_standalone_sentiment,6,"{""n_estimators"": 100, ""learning_rate"": 0.03, ""max_depth"": 4}",0.011952266420968374,0.004213597848130982,0.015300262690435393,0.004948044282017744,-0.1337287950076155,0.1405848658470383,100,0.03,4
xgboost,sentiment_std_only,RQ2_standalone_sentiment,2,"{""n_estimators"": 100, ""learning_rate"": 0.05, ""max_depth"": 3}",0.012000971897384435,0.004173928622797099,0.015342825579404584,0.0049536832308716425,-0.1416820169102523,0.1632846601994007,100,0.05,3
xgboost,sentiment_std_only,RQ2_standalone_sentiment,7,"{""n_estimators"": 300, ""learning_rate"": 0.05, ""max_depth"": 2}",0.01211883724125419,0.004071988340656306,0.015516716763398391,0.004877508564413085,-0.17272978274302564,0.18125901208880693,300,0.05,2
xgboost,sentiment_std_only,RQ2_standalone_sentiment,11,"{""n_estimators"": 300, ""learning_rate"": 0.03, ""max_depth"": 3}",0.012226326572275611,0.0040294330274307935,0.015727176904978813,0.00478970379272629,-0.21028456238945234,0.19707659661950466,300,0.03,3
xgboost,sentiment_std_only,RQ2_standalone_sentiment,3,"{""n_estimators"": 100, ""learning_rate"": 0.05, ""max_depth"": 4}",0.012316393871746689,0.004051289421482322,0.0158366694642917,0.004751865914725245,-0.23140542599152125,0.2244101678073097,100,0.05,4
xgboost,sentiment_std_only,RQ2_standalone_sentiment,8,"{""n_estimators"": 300, ""learning_rate"": 0.05, ""max_depth"": 3}",0.012661010669476967,0.003933454464703933,0.01635558727604623,0.004728451814723576,-0.3214709750766318,0.2655432743118523,300,0.05,3
xgboost,sentiment_std_only,RQ2_standalone_sentiment,12,"{""n_estimators"": 300, ""learning_rate"": 0.03, ""max_depth"": 4}",0.012625279686750243,0.003893261514265041,0.016358593740416184,0.004672863390825967,-0.324135113833894,0.26983637911522285,300,0.03,4
xgboost,sentiment_std_only,RQ2_standalone_sentiment,9,"{""n_estimators"": 300, ""learning_rate"": 0.05, ""max_depth"": 4}",0.013214661731253116,0.003829150759172105,0.01722479007583082,0.004570671837583962,-0.491415275696905,0.40251283224608086,300,0.05,4
